knm_05927_01699170109	ಬಾಗಿಲಿಗೆ ಬಂದ ಜ್ಯೋತಿಯನ್ನು ಸ್ವಾಗತಿಸಿ
knm_04689_02064770503	ಇದು ಹೊಂದಿಕೊಳ್ಳುವ ಕಾಲಮಾನ ವಲಯವಾಗಿದ್ದು
knm_06230_00179788604	ಕೃತಕ ಸಾಧನಗಳಿಂದ ಮೈಯ ಭಾಗಗಳಿಗೆ ಬದಲಿ ಜೋಡಿಸುವುದು ನ್ಯೂನತಾಪೂರಣ ವಿಜ್ಞಾನದಲ್ಲಿದೆ.
knm_02894_01936152767	ಧಮನಿಗಳು 24, ಹೊಕ್ಕುಳ ಮೇಲಕ್ಕೆ 10
knm_02894_01590346996	ಮಾಂಸಖಂಡಗಳು 500, ಆದರೆ ಅವನ್ನು ಎಣಿಸಲಾಗುವುದಿಲ್ಲ ಎಂದು ಚರಕನು ಬರೆದಿದ್ದಾನೆ.
knm_00574_02032155171	ಹಾಗಿದ್ದಾಗ್ಯೂ ಕೃಷಿಯ ಪ್ರಮಾಣವು ದೊಡ್ಡದಾದಾಗ ಮತ್ತು ಹೆಚ್ಚು ಸಂಕೀರ್ಣವಾದಾಗ
knm_05927_01532728684	ವೆಬ್ ಸರ್ವರ್ ನ ಅಳವಡಿಕೆ ಹಾಗು ಬಳಕೆದಾರರು ಸುಲಭವಾಗಿ ಪ್ರವೇಶಿಸುವ ನೆಟ್ವರ್ಕ್.
knm_04992_00513754945	ರವಾನಾ ನಿಯಂತ್ರಣಾ ಶಿಷ್ಟಾಚಾರ
knm_02894_00327097612	ಇದರಿಂದಾಗಿ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಅವಸಾನಗೊಂಡಿತು.
knm_05066_00941749445	ಅಂತರ್ಜಾಲಗಳು ವೀಕ್ಷಕರಿಗೆ ನೇರವಾದ ಜೀವಂತಿಕೆಯ ಬದಲಾವಣೆಗಳನ್ನು ಒದಗಿಸುತ್ತವೆ
knm_00271_00716225111	ಮೂಲತಃ ಇವುಗಳು ಹಂಚಿಕೆಯಾದ ಡ್ರೈವ್ ಗಳಾಗಿರುತ್ತದೆ
knm_04689_01596504784	ಇಟಲಿಯಲ್ಲೂ ಸಹ ಹಲವರು ವಿಶ್ವವಿದ್ಯಾಲಯಗಳಲ್ಲಿ ಅಂತರಿಕ್ಷಯಾನ ಇಂಜಿನಿಯರಿಂಗ್ ನಲ್ಲಿ ಪದವಿ ಪಡೆಯುವ ಅವಕಾಶವಿದೆ.
knm_08025_01213678155	ಅವರು ಪ್ರತಿದಿನ ತರಬೇತಿ ಯುವರಾಜ್ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.
knm_02910_00322675730	ನ್ಯಾಯಾಧೀಶರು ತಮ್ಮ ಜಂಟಿ ತೀರ್ಪುಗಳನ್ನು ಇಲ್ಲವೆ ತಮ್ಮ ಪ್ರತ್ಯೇಕ ಅಭಿಪ್ರಾಯ ಮಂಡಿಸಬಹುದು.
knm_00180_01848494669	ಕೆಲವು ಸಲ ಇನ್ನೂ ಹೆಚ್ಚು ಎತ್ತರಕ್ಕೆ ಬೆಳೆಯುತ್ತವೆ
knm_09877_00939979464	ತೊಡೆಸಂದಿಯ ಪರೋಕ್ಷ ಅಂಡವಾಯುವಿನಲ್ಲಿದೆ
knm_08025_00548559102	ಎರಡನೆಯ ಗುಂಪಿನ ಅಂಟುಗಳು ಆರಿದಾಗ ಗಟ್ಟಿಯಾದರೂ ಮತ್ತೆ ಬಿಸಿ ಮಾಡಿದಾಗ ಮೆತ್ತಗಾಗುವುವು.
knm_00811_01826403702	ಆದರೆ ಈ ಮೂಲ ಅಂಕಿ ಯಾವುದು ಎನ್ನುವ ವಿಚಾರದಲ್ಲಿ ವಿದ್ವಾಂಸರಲ್ಲಿ ಒಮ್ಮತವಿಲ್ಲ
knm_01099_01368583217	ಅಂತರ್ಜಾಲಗಳು ಸಾಮಾನ್ಯವಾಗಿ ಸ್ಥಿರ ಸೈಟ್ ಗಳಾಗಿರುತ್ತವೆ.
knm_05066_00655829084	ಅಂಗಾಲು ಪಾದದ ಕೆಳಭಾಗ
knm_06230_01537484731	ಕೆಲ ವರ್ಷಗಳ ನಂತರ ಸಂಯುಕ್ತ ರಾಷ್ಟ್ರಗಳು ಮತ್ತು ಅದರ ತಾಂತ್ರಿಕ ಏಜೆನ್ಸಿಗಳು ಮಾನವ ಹಕ್ಕುಗಳನ್ನ ಅಬಿನಂಧಿಸಿ ಮಹಿಳೆಯರ ಭಾಗವಹಿಸುವುದನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಿದವು.
knm_09877_00210281037	ನಮ್ಮ ದೇಶದ ವಿವಿಧ ಪ್ರಾಂತಗಳಲ್ಲಿ ಮೊದಲನೆಯ ಫಸಲು ಜುಲೈ ಅಕ್ಟೋಬರ್ ತಿಂಗಳುಗಳಲ್ಲೂ ಎರಡನೆಯ ಫಸಲು ಜನವರಿ ಮೇ ತಿಂಗಳುಗಳಲ್ಲೂ ಬರುತ್ತವೆ
knm_04992_00352478470	ಕಪಿಸೈನ್ಯದ ಸಂಖ್ಯೆ 1622 ಕ್ಕೆ ಮೇಲ್ಪಟ್ಟು.
knm_09140_00912813128	ಪಾಲಿಮರ್ ದ್ರಾವಣವನ್ನು ಹಾಕಿದ ನಂತರದಲ್ಲಿ ಎಲ್ಲವೂ ಆವಿಯಾಗುವಂತೆ ಮಾಡಲಾಗುತ್ತದೆ.
knm_09140_00028481123	ಪಾತ್ರವನ್ನರಿತು ಗಟ್ಟಿಗನಾದವನಿಗೆ ವಿದ್ಯಾದಾನ ಮಾಡಬೇಕು.
knm_02352_01170274141	ಅಂತಃಸ್ರಾವ ಶಾಸ್ತ್ರದ ಅಧ್ಯಯನವು ಚೀನಾದಲ್ಲಿ ಪ್ರಾರಂಭವಾಯಿತು.
knm_00271_01901593771	ಇನ್ನೂರು ಅಡಿಗಳಲ್ಲಿ
knm_02533_02074874563	ಬಲ ದಲ್ಲಿ ನಿರ್ಗಮಿಸಿ
knm_06500_00188482120	ಇಂತಹ ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಾಗಿ ಪುನಃಸ್ಥಾಪಕ ಶಕ್ತಿ ಎನ್ನುತ್ತೇವೆ.
knm_05927_01382012207	ಇವರು ಬೆಂಗಳೂರಿನಲ್ಲಿ ವಾಸವಾಗಿದ್ದಾರೆ ಮತ್ತು ತರಬೇತಿಪಡೆಯುತ್ತಿದ್ದಾರೆ.
knm_02533_01425752421	ನೂರು ಅಡಿಗಳಲ್ಲಿ
knm_05066_00885491945	ಈ ಕೆಲವು ಶಾರೀರಿಕ ಪ್ರತಿಕೂಲ ಪರಿಣಾಮಗಳನ್ನು ತಡೆಗಟ್ಟಲು
knm_09140_01517191781	ಈ ತ್ಯಾಜ್ಯ ಮತ್ತು ನೈರ್ಮಲ್ಯ ವಿಭಾಗಗಳು ಗಾಳಿಯನ್ನು ಹೀರಿಕೊಳ್ಳುವ ವ್ಯವಸ್ಥೆಯನ್ನು ಬಳಸುತ್ತವೆ.
knm_04689_01651546915	ಆಹಾರದ ಸಣ್ಣ ಚೂರುಗಳನ್ನು ಒಳಗೊಂಡಂತೆ ತೇಲಿಹೋಗುವ ಯಾವುದೇ ಆಹಾರವನ್ನಾದರೂ ಸಂಗ್ರಹಿಸಲೇಬೇಕು.
knm_01672_01437216432	ಅಂಗೋಲ
knm_04689_01905231153	ಒಳಗಿರುವ ಜೈರೋಸ್ಕೋಪ್ ಅಥವಾ ನೂಕುಕಾರಿ ಕಕ್ಷೆಯನ್ನು ಸರಿಪಡಿಸುವುದು.
knm_00811_01108141901	ಸ್ಥಿತಿಸ್ಥಾಪಕ ಅಂತಸ್ಥ ಶಕ್ತಿಯು ಸ್ಥಿತಿಸ್ಥಾಪಕ ದ್ರವ್ಯದ ಅಂತಸ್ಥ ಶಕ್ತಿಯಾಗಿದ್ದು ಒತ್ತಡ ಹೇರಿದಾಗ ಅಥವಾ ಸಂಚಿತಗೊಳಿಸಿದಾಗ ರೂಪಬದಲಾಗುತ್ತದೆ
knm_02533_00554842351	ಮೂರು ಮೈಲಿ‍ಗಳಲ್ಲಿ
knm_02352_01244541252	ಇವು 2015 ರ ವರೆಗೆ ನಿಲ್ದಾಣಕ್ಕೆ ಸರಕು ಸರಬರಾಜು ಮಾಡುತ್ತವೆ.
knm_01672_01881305159	ಕೆಲವು ವಿಮರ್ಶಕರು
knm_06681_01568954233	ಇದು ಪ್ರಾಚೀನ ಜ್ಞಾನಗಳಲ್ಲಿ ಮುಖ್ಯವಾದುದು
knm_02910_00751165351	ಇವನ ಆಯುಧ ಬಲಿಷ್ಠವಾದ ವಜ್ರ.
knm_02894_02089296622	ಆ ಚಲನ ಶಕ್ತಿಯು ತಲಸ್ಥರದಲ್ಲಿ ಅತ್ಯಂತ ಹೆಚ್ಚಿನ ಶಕ್ತಿಯಾಗಿರುತ್ತದೆ.
knm_09877_00484897396	ಮಾಂಸವನ್ನು ಬೇಗ ಕುದಿಸಲಿಕ್ಕೆ ಇದರ ಕಾಯಿಯನ್ನು ಸೇರಿಸುವರು
knm_02352_01635556392	ಸದ್ಯದ ಜನಪ್ರಿಯ ಎಲ್ಲರಿಗೂ ಪರಿಚಿತ ಸಲಹಾ ಅಭಿಪ್ರಾಯವು ಅಣ್ವಸ್ತ್ರಗಳ ಪ್ರಕರಣ ದಲ್ಲಿ ಹೆಚ್ಚು ವ್ಯಾಪಕವಾಗಿದೆ.
knm_08025_01214989142	ಒಂದು ಪೋಷಕವಸ್ತುವಿನ ಕೊರತೆಯಿದ್ದಾಗ
knm_07918_01100306458	ಈ ಮೂರು ವಿಧವಾದ ಅನುಭವಗಳಿಗೆ ಕಾರಣವಾದ ಒಳ ಅಂಗಗಳ ಸ್ಥಾನ ಅಂತಃಕರಣ.
knm_02533_01491239133	ವೃತ್ತಾಕಾರದಲ್ಲಿ, ರಾಂಪ್‌ನಲ್ಲಿಗೆ ನಿರ್ಗಮಿಸಿ
knm_01114_01697550445	ಇದರ ಪ್ರತಿಕಕ್ಷಿಗಾರರು ಅದರ ಕಾರ್ಯಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿ ಪರಿಗಣಿಸಿ ಪ್ರಕರಣದ ಸೂಕ್ತ ಅಂಶಗಳ ಆಧಾರದ ಮೇಲೆ ಇದನ್ನು ಮುಂದುವರೆಸುತ್ತದೆ
knm_05927_01425638728	ಪ್ರತಿಕ್ರಿಯೆ ಆಧಾರದ ಮೇಲೆ ಕೆಲಸವನ್ನು ಪರಿಷ್ಕರಿಸಲು.
knm_08025_00737069888	ಹಾನಿಕಾರಕ ಮಾರ್ಪಾಡುಗಳನ್ನು ಪತ್ತೆಹಚ್ಚಲು ಅರೆ-ದುರ್ಬಲವಾದ ನೀರುಗುರುತುಗಳನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ.
knm_02910_01366599460	ಅಂತರ್ವ್ಯಾಪ್ತನಾಗಿದ್ದರೂ ಪ್ರಪಂಚವನ್ನು ಮೀರಿ ಸರ್ವಸ್ವತಂತ್ರನಾಗಿರುತ್ತಾನೆ.
knm_02894_01021114508	ಸಂಸ್ಕೃತ ತ್ರಿಪಿಟಕದಲ್ಲಿ ಇದನ್ನು ಏಕೋತ್ತರಾಗಮ ಎಂದು ವ್ಯವಹರಿಸುತ್ತಾರೆ.
knm_02533_01470123346	ಐನೂರು ಅಡಿಗಳಲ್ಲಿ
knm_02352_01781953316	ಅಕ್ಷರ ವಿಕಾಸವಾದ ಮೇಲೆ ಅಂಕಿಗಳನ್ನು ಬರೆಯಲು ಬೆರಳುಗಳಂತೆ ಉದ್ದನೆಯ ರೇಖೆಗಳನ್ನು ಬರೆಯಲು ಪ್ರಾರಂಭಿಸಿದನೆಂದು ಸಿಕ್ಕಿರುವ ನಾಹಿತಿಗಳಿಂದ ವ್ಯಕ್ತವಾಗುತ್ತದೆ.
knm_02910_00070835766	ಆಂತರಿಕ ದಹನ ಇಂಜಿನ್ ಗಳನ್ನು ವರ್ಗೀಕರಿಸಲು ಹಲವಾರು ಸಂಭಾವ್ಯ ಮಾರ್ಗಗಳಿವೆ.
knm_07524_01435286113	ಮಾನವತಳಿಶಾಸ್ತ್ರ
knm_00574_00693258591	ಇನ್ನು ಅಧಿಕವೆಂದರೆ ಕೋರ್ಟ್ ತನ್ನ ಕಾರ್ಯಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯನ್ನು ಒಟ್ಟಾಭಿಪ್ರಾಯ ಒಳಗೊಂಡಿದೆ
knm_04992_00572657901	ಕೆಲಸ ದ್ರವಗಳು ಒಂದು ಬಾಯ್ಲರ್ ಗಾಳಿಯ ಬಿಸಿ
knm_06984_01983725863	ಅಂಕಿ ಸಂಖ್ಯಾಶಾಸ್ತ್ರದ ಪಾರ್ಶ್ವಚಿತ್ರ
knm_06681_00884160640	ಅಂಟಾರ್ಕ್ಟಿಕ ಪ್ರಪಂಚದ ಅತ್ಯಂತ ದಕ್ಷಿಣಕ್ಕಿರುವ ಖಂಡ
knm_06230_01035428397	ನಕ್ಷತ್ರಗಳು ಕಾಣಿಸಲು ವೀಕ್ಷಕನ ಸ್ಥಳದಲ್ಲಿ ಸಾಕಷ್ಟು ಕತ್ತಲಿರಬೇಕು.
knm_07221_01675027183	ದೇಶಗಳು ಅಂತಾರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರದಲ್ಲಿ ವ್ಯಾಪಾರಿಮನೋಭಾವ ಹೊಂದಿರುತ್ತದೆ
knm_05066_01472498320	ನವರಾತ್ರಿಯ ಒಂಬತ್ತು ದಿನಗಳಲ್ಲೂ ಇಲ್ಲಿ ಜಾತ್ರೆ ನಡೆಯುವುದು
knm_06971_00309681272	ಇದು ಭಾರತದ ನಾಲ್ಕನೆ ಅತ್ಯಂತ ಉನ್ನತ
knm_00811_00174792673	ಹದಿನೈದು ಮತ್ತು ಹದಿನಾರನೇ ಶತಮಾನದ ಸುಮಾರಿಗೆ ಗಾತಿಕ್ ಮುಖ್ಯ ಚರ್ಚುಗಳಲ್ಲಿ ಚಿನ್ನದ ಎಲೆಯ ಅಂಕಣ ಫಲಕಗಳನ್ನು ಲೇಪಿಸುವುದನ್ನು ಪ್ರಾರಂಭಿಸಲಾಯಿತು
knm_04705_02031455759	ಭಾರತದಲ್ಲಿ ಮಹಾರಾಷ್ಟ್ರದ ಪೂನಾ ಬೆಳೆಯಲಾಗುತ್ತದೆ
knm_01114_00658262558	ಶಬ್ದ ಮಾಲಿನ್ಯ ನಿಯಂತ್ರಣ ಶಬ್ದ ವರ್ಗಾವಣೆಯ ಗ್ರಹೀತ ಯಂತ್ರವಿಜ್ಞಾನದ ಅಧ್ಯಯನ
knm_02352_01942089040	ಅಮೇರಿಕಾದ ಸಾಮಾಜವಾದಿ ಪಕ್ಷ ಈ ದಿನವನ್ನ ಕೆಲಸದ ಪರಿಸ್ಥಿತಿಯನ್ನ ವಿರೋಧಿಸಿ ನ್ಯುಯಾರ್ಕ್ ನಗರದಲ್ಲಿ ನಡೆದ ಸರ್ಕಾರಿ ಕಾರ್ಮಿಕರ ಚಳುವಳಿ ಯಲ್ಲಿ ಪ್ರತಿಭಟಿಸಿದ ಮಹಿಳೆಯರಿಗೆ ಅರ್ಪಿಸಲಾಯಿತು.
knm_07524_01776165958	ಬೋಧಕ ತಮ್ಮ ಲೇಖನಗಳನ್ನು ಅಂಕ ಅಂಗೀಕೃತ ಪದ್ಧತಿಯಲ್ಲಿ ಉಪಯೋಗಿಸಬಹುದು ಎಂಬುದನ್ನು ಈ ಅಭ್ಯಾಸ ಬೋಧನೆ ಮೂಲಕ ವಿದ್ಯಾರ್ಥಿಗಳ ವಿಶ್ವಾಸ ರಚಿಸಬಹುದು.
knm_02352_00267830633	ಇದನ್ನು ಭಾರತದಲ್ಲಿ ಯಾರೂ ಮುಂದುವರಿಸಲಿಲ್ಲ.
knm_04705_00308988457	ಒಂದು ಗಿಡ 12 ರಿಂದ 15 ವರ್ಷ ಫಸಲು ಕೊಡುತ್ತದೆ.
knm_02894_01099597010	ತತ್ತ್ವಶಾಸ್ತ್ರದಲ್ಲಿ ಅಂತರ್ವ್ಯಾಪ್ತಿ ಪ್ರಶ್ನೆ ಅತಿ ಪ್ರಧಾನವಾದುದು.
knm_00378_01459562091	ವ್ಯಾಪಾರ ಅಥವಾ ಉತ್ಪಾದನಾ ವ್ಯಾಪಾರದ ಚಕ್ರ ಸಿದ್ಧಾಂತ
knm_04705_01469308671	ಎಲ್ಲಾ ವಿಧದ ಸಂಪನ್ಮೂಲಗಳ ಕೊರತೆ ಅಂತರಾಷ್ಟ್ರೀಯ ವ್ಯವಹಾರಗಳ ಬೆಳವಣಿಗೆಗೆ ಪ್ರಮುಖವಾಗಿದೆ.
knm_03197_00693455736	ಸ್ಥಿರ ವಿನಿಮಯ ದರಗಳು ಕಾರ್ಯನೀತಿಗಳ ಮೂಲಕ ವಿತ್ತ ಸಹಾಯ
knm_09140_00463250330	ಈ ಉದ್ಯಮವು ಪರಿಸರದ ಮೇಲೆ ಮಾರಕ ಪರಿಣಾಮವನ್ನುಂಟು ಮಾಡುತಿದೆ.
knm_00180_01014382426	ಪ್ರಕೃತಿಯಲ್ಲಿ ಮತ್ತು ಜೀವರುಗಳಲ್ಲಿ ಒಂದೇ ರೀತಿಯಾಗಿ ಅಂತರ್ವ್ಯಾಪ್ತನಲ್ಲ.
knm_04992_02097735697	ಧಮನಿ
knm_08025_00971320603	ಪ್ರಸ್ಥಭೂಮಿಯಲ್ಲಿ ಗರಿಷ್ಠವೆಂದರೆ ವಾರ್ಷಿಕ ಐವತ್ತು ಮಿಲಿಮೀಟರ್
knm_00417_00916664966	ಆಗ್ನೇಯಕ್ಕೆ ಸಾಗಿ
knm_02894_02054212872	ಕಾಗದದ ಎಲೆಯ ಅಲಂಕರಣದ ಬಹುತೇಕ ಮೂಲವು ಈಸ್ಟ್ ಸೈಬೇರಿಯಾದ ಶವಸಂಸ್ಕಾರದ ಕಲೆ ಎಂದು ತಿಳಿಯಲಾಗಿದೆ.
knm_09877_01037737528	ನಿಲ್ದಾಣದ ಮೂಲ ನೆಲೆ
knm_07918_01915208889	ಅವನು ಅಸಂಖ್ಯಾತ ಜೀವರುಗಳನ್ನು ಸೃಷ್ಟಿಸಿ ಅವರಲ್ಲಿ ಪ್ರವೇಶಿಸುತ್ತಾನೆ
knm_02910_01761347385	ಒಂದು ವೇಳೆ ಸಂಕೇತವು ನಕಲು ಮಾಡಲ್ಪಟ್ಟರೆ
knm_00574_01335429582	ಆಗ್ನೇಯಕ್ಕೆ ಸಾಗಿ
knm_04992_01991651195	ಸಾಮಾನ್ಯವಾಗಿ ತಿಂಗಳಿಗೆ ಒಂದರಂತೆ ಸರದಿಯಲ್ಲಿ ಈ ಎರಡು ಅಂಡಾಶಯಗಳು ಮೊಟ್ಟೆಗಳನ್ನು ಉತ್ಪತ್ತಿ ಮಾಡುತ್ತವೆ.
knm_00378_00276713614	ಹೇಗೆಂದರೆ ಎಲ್ಲಾ ಆಕಾಶಕಾಯಗಳ ನಡುವಿನ ಅಂತರದಂತೆ.
knm_00574_01519277804	ದಯವಿಟ್ಟು ಸಮಸ್ಯೆಯನ್ನು ವಿವರಿಸಿ
knm_04689_01764399405	ಹಿಂದೆ ಪೋರ್ಚುಗೀಸರ ವಶದಲ್ಲಿದ್ದ ಈ ದ್ವೀಪದ ಬಳಿಯಲ್ಲಿಯೇ 1961ನೆಯ ಡಿಸೆಂಬರ್ ತಿಂಗಳಲ್ಲಿ ಒಬ್ಬ ಭಾರತೀಯ ಅಂಬಿಗನು ಅವರಿಂದ ಗುಂಡು ಹಾರಿಸಿ ಕೊಲ್ಲಲ್ಪಟ್ಟ.
knm_04689_00730278697	ನೆಲದೊಳಗೆ ಶೇಖರವಾಗಿರುವ ನೀರಿಗಿಂತ ಹೆಚ್ಚಿನ ಪ್ರಮಾಣದ ನೀರನ್ನು ಹೊರತೆಗೆದರೆ ಅದು ಮೀರೆಳೆತ ಎನ್ನಿಸುತ್ತದೆ.
knm_08025_01588524515	ಮೈಕ್ರೋಸಾಫ್ಟ್ ನಡುವೆ ಒಪ್ಪಂದ ಕುದುರಿಸಲಾಯಿತು.
knm_06681_01878983602	ಸಣ್ಣ ಸಣ್ಣ ರೆಂಬೆಗಳನ್ನು ಇಪ್ಪತ್ತು ಇಪ್ಪತ್ತೈದು ಸೆಂಟಿಮೀಟರ್ನಷ್ಟು ಉದ್ದ ಕತ್ತರಿಸಿ
knm_02894_00378229040	ಇದು ಅಂಕ ಅಂಗೀಕೃತ ಪದ್ಧತಿಯಲ್ಲಿ ವಿಶ್ವಾಸಾರ್ಹತೆ ಮೇಲೆ ವಿದ್ಯಾರ್ಥಿ / ಶಿಕ್ಷಕ ಒಪ್ಪಂದದ ಸಹಕರಿಸುತ್ತವೆ.
knm_06230_02038849300	ಇಂಥ ಸಂಪುಟಗಳನ್ನು ನೆಲದಮೇಲೆ ನಿರ್ಮಿಸಿ ಆಮೇಲೆ ವರ್ಗಾಯಿಸಿ
knm_04689_01801085837	ಬ್ಯಾಂಕಿನ ಆಡಳಿತ ನಿರ್ವಹಣೆಗೆ ನಿರ್ದೇಶಕರುಗಳ ಮಂಡಳಿ ಇದೆ.
knm_07221_01654143498	ಇದು ವಿಫಲವಾದ ಪಂಪ್ ಗಳ ತಯಾರಕವಾಗಿದೆ.
knm_04526_00343565033	ಕಾಲಕ್ರಮೇಣ ಈ ಎರಡು ರೇಖೆಗಳೂ ಬಲಭಾಗದಲ್ಲಿ ಸೇರಿಕೊಂಡು ಕೊಂಡಿಯಾಕಾರವನ್ನು ತಾಳಿದವು
knm_01114_00560059246	ಎದುರು ವರ್ತಿಸುವ ಕಿರಿಯ ಗುಂಪುಗಳು ಒಂದೊಂದರ ಮೇಲ್ಮೈಯಲ್ಲೂ ಇರುತ್ತವೆ
knm_04992_00560167636	ಇದು ಐಚ್ಛಿಕವಾಗಿದ್ದು ಬಹಳಷ್ಟು ಸಜ್ಜಿಕೆಗಳು ಇದನ್ನು ಬೆಂಬಲಿಸುವ ಸಾಧ್ಯತೆ ಇದೆ.
knm_02352_01817012394	ಹಾಗೆ ಮಾಡಿದರೆ ಹೋಲಿಸಬಹುದಾದ ಫಲಿತಾಂಶ ದೊರೆಯುತ್ತದೆ.
knm_00271_01194544951	ಐನೂರು ಮೀಟರ್‌ಗಳಲ್ಲಿ
knm_07221_00991128042	ಎಲ್ಲ ಅಧಿಕೃತ ಬಳಕೆದಾರರ ಮೂಲಕ ಮಾಹಿತಿಯನ್ನು ಸುಲಭವಾಗಿ ಸಂಗ್ರಹಿಸಬಹುದು.
knm_05927_00687816202	ಸಾಂಪ್ರದಾಯಿಕ ದೂರವಾಣಿ ಪಥಗಳಲ್ಲಿ ಸುರಕ್ಷಿತ ದೂರವಾಣಿ ಸಂಪರ್ಕಕ್ಕೆ ಬೇಕಾದ ಎಲ್ಲಾ ಸೌಲಭ್ಯಗಳು ಲಭ್ಯವಿದೆ
knm_09877_01024340604	ಲೋಪದ ಅಂಡವಾಯುಗಳು ಜಾರುವಿಕೆ ಯ ಸ್ವಭಾವವನ್ನು ಹೊಂದಿರಬಹುದಾಗಿದೆ
knm_07918_00693025474	ಮರದ ಅಂಟು ಚಿತ್ರಣ ಕಲೆ ಯು ಕಾಗದ ಅಂಟು ಚಿತ್ರಣದ ಕಾಲದ ನಂತರ ಉದಯಿಸಿತು
knm_07221_01558504697	ಎಲ್ಲ ಬಗೆಯ ಹವೆಯಲ್ಲಿಯೂ ಮಣ್ಣಿನಲ್ಲೂ ಬೆಳೆಯುತ್ತದೆ.
knm_04689_01070392377	ಅಂಡಮಾನಿ ಎನ್ನುವುದು ಕನಿಷ್ಠಪಕ್ಷ ಮೂರು ಭಾಷೆಗಳನ್ನೊಳಗೊಂಡಿರುವ ಗುಂಪು
knm_01114_01642647181	ಮೊತ್ತ ಎರಡು
knm_04705_01840100958	ಅಂಡಮಾನ್ ಹೆಸರಿನ ಚಲನಚಿತ್ರದ ಬಗೆಗಿನ ಮಾಹಿತಿಗೆ ಈ ಪುಟವನ್ನು ನೋಡಿ
knm_05927_01680815509	ವಿಷ್ಣುವರ್ಧನನ ಕಾಲದ ಶಶಪುರ
knm_05927_00991221760	ಜಾಲರಿಯನ್ನು ಸೂಕ್ತ ಸ್ಥಳದಲ್ಲಿ ಇರಿಸಲು ಕೆಲವೊಮ್ಮೆ ಸೂಕ್ಷ್ಮತಂತುಗಳನ್ನು ಬಳಸಲಾಗುತ್ತದೆ
knm_08025_01457093887	ಸರ್ಕಾರದ ಖಜಾನೆಯು ಮೂರನೇ ಪಕ್ಷದ ಅಥವಾ ತೃತೀಯ ಹೂಡಿಕೆದಾರರಿಗೆ ಪಾವತಿ ಪತ್ರಗಳನ್ನು ಮಾರಾಟಮಾಡಬಹುದಾಗಿತ್ತು.
knm_04689_01331335677	ಶಾರೀರಸ್ಥಾನವೇ ಅಂಗರಚನಾವಿಜ್ಞಾನವನ್ನು ಕುರಿತದ್ದು.
knm_02894_01072237409	ಇತ್ತೀಚಿನ ಯುದ್ಧೋತ್ತರ ಕಾಲದಲ್ಲಿ ತೀರುವೆ ಬ್ಯಾಂಕು ಯುರೋಪಿನ ಪುನಾರಚನೆಗೆ ಸಂಬಂಧಿಸಿದ ಅನೇಕ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಹಣಕಾಸಿನ ವ್ಯವಹಾರಗಳನ್ನು ಕೈಗೊಂಡಿದೆ.
knm_09877_01185587218	ಇದನ್ನು ಇವನು ಧರಿಸುವುದರಿಂದಲೇ ಇವನಿಗೆ ವಜ್ರಭೃತ್ ಹೆಸರು
knm_07221_01771811620	ಇದರ ಧೋರಣೆ ಅತ್ಯಂತ ಕ್ರಾಂತಿಕಾರಿಯಾದುದರಿಂದ ಸಮಾಜವಾದಿಗಳು ಇಂದೂ ಇದರ ಬಗೆಗೆ ಗೌರವವನ್ನು ಹೊಂದಿದ್ದಾರೆ.
knm_00378_01757997062	ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರ್ ಮತ್ತು ಟ್ರಿಪಲ್ ಜಂಪ್ ನಲ್ಲಿ ಮಾಜಿ ರಾಷ್ಟ್ರೀಯ ಚಾಂಪಿಯನ್ ಆಗಿದ್ದ ಬಾಬಿಯವರು ಅಂಜುರವರಿಗೆ ಪೂರ್ಣಾವಧಿಯ ತರಬೇತುದಾರರಾಗಲು ಹತ್ತೊಂಬತ್ತು ನೂರ ತೊಂಬತ್ತೆಂಟರಲ್ಲಿ ಅವರ ವೃತ್ತಿ ಜೀವನಕ್ಕೆ ವಿದಾಯ ಹೇಳಿದರು.
knm_07221_00059419383	ಅಂಡಮಾನಿ ಭಾಷೆ, ಅಂಡಮಾನ್ ದ್ವೀಪಗಳ ಆದಿವಾಸಿಗಳ ಭಾಷೆ.
knm_04689_01611868471	ಆ ಕಾರಣದಿಂದ ಅಂಕಿ ಸಂಖ್ಯಾಶಾಸ್ತ್ರವನ್ನು ಸತತವಾಗಿ ಮಾಧ್ಯಮ ಅಧ್ಯಯನದಲ್ಲಿನ ಕ್ಷೇತ್ರದಲ್ಲಿ ಉಪಯೋಗಿಸಲಾಗುತ್ತದೆ
